,id,imte1,imte2,imte3,imte4,imte5,safeinform,skillmat,wsituation1,wsituation2,wsituation3,wsituation4,wsituation5,wsituation11,wsituation6,wsituation7,wsituation,wsituation.1,wsituation10,wsituation12,wsituation13,wsituation14,wstat1,wstat2,wstat3,wstat4,wstat5,wstat6,wstat7,emo_manual,asb5,asb6,asb7,disc1,disc5,disc,disc10,disc11,disc6,disc7,disc.1,disc2,disc3,disc4,wtime_con1,wday,wday_week,ctime,wtime_night_a,wtime_sun_a,wtime_sat_a,wtime_long_a,wtime_night2,wtime_night3
26,1000392_3,3.0,1.0,1.0,2.0,3.0,2.0,2.0,2,1,7.0,7.0,7.0,2.0,4.0,2.0,2,3,2,3,2.0,2,3.0,2.0,3,2,2.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,7.0,7.0,7.0,7.0,7.0,2.0,1,5,30.0,1.0,0.0,0.0,0.0,2,2
27,1000407_1,3.0,1.0,1.0,2.0,3.0,1.0,2.0,2,1,2.0,1.0,4.0,2.0,4.0,2.0,2,2,2,4,4.0,3,3.0,2.0,2,1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,1,5,30.0,0.0,0.0,0.0,0.0,2,2
28,1000407_2,3.0,1.0,1.0,2.0,2.0,2.0,2.0,2,1,2.0,2.0,1.0,2.0,4.0,2.0,2,1,2,1,2.0,2,2.0,1.0,2,1,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,1,5,30.0,0.0,0.0,0.0,0.0,2,2
29,1000435_1,2.0,1.0,1.0,2.0,3.0,1.0,2.0,2,1,2.0,2.0,2.0,2.0,3.0,2.0,2,2,2,3,2.0,3,2.0,1.0,2,2,2.0,7.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,1,5,50.0,0.0,0.0,0.0,0.0,2,2
30,1000440_1,3.0,1.0,2.0,1.0,4.0,2.0,2.0,2,1,2.0,2.0,1.0,2.0,2.0,1.0,2,2,2,3,1.0,2,2.0,1.0,2,2,2.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,1,5,60.0,0.0,0.0,1.0,1.0,2,2
31,1000447_1,2.0,1.0,2.0,3.0,4.0,2.0,2.0,2,1,2.0,2.0,1.0,2.0,2.0,1.0,1,2,2,2,2.0,2,2.0,1.0,2,1,2.0,5.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,1,5,50.0,0.0,1.0,1.0,0.0,2,2
32,1000451_2,2.0,1.0,1.0,2.0,3.0,2.0,2.0,2,1,1.0,2.0,2.0,2.0,1.0,2.0,2,2,2,2,2.0,2,2.0,1.0,2,2,2.0,7.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,1,5,40.0,0.0,0.0,0.0,0.0,2,2
33,1000452_1,2.0,1.0,1.0,2.0,3.0,2.0,2.0,2,1,2.0,1.0,2.0,2.0,2.0,1.0,1,2,2,3,2.0,3,1.0,2.0,2,1,2.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,1,5,0.0,0.0,1.0,1.0,1.0,2,2
34,1000452_2,3.0,1.0,2.0,2.0,4.0,2.0,3.0,2,1,2.0,3.0,3.0,2.0,4.0,2.0,3,2,2,3,3.0,2,3.0,2.0,1,2,3.0,5.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,1,5,60.0,0.0,0.0,0.0,0.0,2,2
35,1000452_3,3.0,1.0,1.0,3.0,4.0,2.0,3.0,2,1,2.0,2.0,2.0,1.0,4.0,2.0,1,1,1,3,2.0,3,3.0,2.0,1,2,2.0,7.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,1,5,50.0,0.0,0.0,1.0,0.0,2,2
36,1000455_1,2.0,2.0,2.0,2.0,2.0,4.0,3.0,2,3,3.0,3.0,3.0,3.0,2.0,2.0,2,3,2,2,2.0,2,2.0,3.0,2,3,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1,6,40.0,0.0,1.0,1.0,0.0,2,2
37,1000455_2,3.0,3.0,3.0,2.0,2.0,4.0,3.0,2,3,3.0,2.0,2.0,2.0,3.0,3.0,3,3,3,3,3.0,2,3.0,3.0,3,3,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1,5,30.0,0.0,0.0,0.0,0.0,2,2
38,1000459_2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2,2.0,1.0,2.0,2.0,2.0,2.0,2,2,1,2,1.0,2,2.0,2.0,1,2,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1,5,40.0,0.0,0.0,0.0,0.0,2,2
